Row ID,RowID_IsNum,RowID_Unique,Order ID, OrderID_Clean ,OrderIdCleanValid,Order Date,Order DateCheck,OrderYear,MonthNumber,OrderMonth,Year–Month  ,Ship Date,Date_Check,ShipOrder_Logic,Ship Mode,ShipModeClean,Customer ID, CustomerID_Clean ,CustomerID_Clean_Valid,Customer Name,Customer NameClean,Segment,SegmentClean,Country,Country Clean,City,City Cleaned,State,StateClean,Postal Code,Postal Clean,Postal_Check,Region,Region_Clean,Product ID,ProductID Cleaned,ProductID Cleaned_Verified,Category,Category Clean,Sub-Category,Sub-CategoryClean,Product Name,Product NameCleaned,Sales, Positive‐value check,Unit Sold
1,✔️ OK,✔️ Unique,CA-2017-152156,CA-2017-152156,✔️ Valid,08-Nov-17,✔️ OK,2017,11,Nov,2017-11,11-Nov-17,✔️ Dates OK,✔️ OK,Second Class,Second Class,CG-12520,CG-12520,✔️ Valid,Claire Gute,Claire Gute,Consumer,Consumer,United States,United States,Henderson,Henderson,Kentucky,Kentucky,42420,42420,✔️ OK,South,South,FUR-BO-10001798,FUR-BO-10001798,✔️ Valid,Furniture,Furniture,Bookcases,Bookcases,Bush Somerset Collection Bookcase,Bush Somerset Collection Bookcase,$261.96 ,✔️ Positive,1
2,✔️ OK,✔️ Unique,CA-2017-152156,CA-2017-152156,✔️ Valid,08-Nov-17,✔️ OK,2017,11,Nov,2017-11,11-Nov-17,✔️ Dates OK,✔️ OK,Second Class,Second Class,CG-12520,CG-12520,✔️ Valid,Claire Gute,Claire Gute,Consumer,Consumer,United States,United States,Henderson,Henderson,Kentucky,Kentucky,42420,42420,✔️ OK,South,South,FUR-CH-10000454,FUR-CH-10000454,✔️ Valid,Furniture,Furniture,Chairs,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,✔️ Positive,1
3,✔️ OK,✔️ Unique,CA-2017-138688,CA-2017-138688,✔️ Valid,12-Jun-17,✔️ OK,2017,6,Jun,2017-06,16-Jun-17,✔️ Dates OK,✔️ OK,Second Class,Second Class,DV-13045,DV-13045,✔️ Valid,Darrin Van Huff,Darrin Van Huff,Corporate,Corporate,United States,United States,Los Angeles,Los Angeles,California,California,90036,90036,✔️ OK,West,West,OFF-LA-10000240,OFF-LA-10000240,✔️ Valid,Office Supplies,Office Supplies,Labels,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Self-Adhesive Address Labels For Typewriters By Universal,$14.62 ,✔️ Positive,1
4,✔️ OK,✔️ Unique,US-2016-108966,US-2016-108966,✔️ Valid,11-Oct-16,✔️ OK,2016,10,Oct,2016-10,18-Oct-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SO-20335,SO-20335,✔️ Valid,Sean O'Donnell,Sean O'Donnell,Consumer,Consumer,United States,United States,Fort Lauderdale,Fort Lauderdale,Florida,Florida,33311,33311,✔️ OK,South,South,FUR-TA-10000577,FUR-TA-10000577,✔️ Valid,Furniture,Furniture,Tables,Tables,Bretford CR4500 Series Slim Rectangular Table,Bretford Cr4500 Series Slim Rectangular Table,$957.58 ,✔️ Positive,1
5,✔️ OK,✔️ Unique,US-2016-108966,US-2016-108966,✔️ Valid,11-Oct-16,✔️ OK,2016,10,Oct,2016-10,18-Oct-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SO-20335,SO-20335,✔️ Valid,Sean O'Donnell,Sean O'Donnell,Consumer,Consumer,United States,United States,Fort Lauderdale,Fort Lauderdale,Florida,Florida,33311,33311,✔️ OK,South,South,OFF-ST-10000760,OFF-ST-10000760,✔️ Valid,Office Supplies,Office Supplies,Storage,Storage,Eldon Fold 'N Roll Cart System,Eldon Fold 'N Roll Cart System,$22.37 ,✔️ Positive,1
6,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,FUR-FU-10001487,FUR-FU-10001487,✔️ Valid,Furniture,Furniture,Furnishings,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",$48.86 ,✔️ Positive,1
7,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,OFF-AR-10002833,OFF-AR-10002833,✔️ Valid,Office Supplies,Office Supplies,Art,Art,Newell 322,Newell 322,$7.28 ,✔️ Positive,1
8,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,TEC-PH-10002275,TEC-PH-10002275,✔️ Valid,Technology,Technology,Phones,Phones,Mitel 5320 IP Phone VoIP phone,Mitel 5320 Ip Phone Voip Phone,$907.15 ,✔️ Positive,1
9,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,OFF-BI-10003910,OFF-BI-10003910,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Dxl Angle-View Binders With Locking Rings By Samsill,$18.50 ,✔️ Positive,1
10,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,OFF-AP-10002892,OFF-AP-10002892,✔️ Valid,Office Supplies,Office Supplies,Appliances,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Belkin F5C206Vtel 6 Outlet Surge,$114.90 ,✔️ Positive,1
11,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,FUR-TA-10001539,FUR-TA-10001539,✔️ Valid,Furniture,Furniture,Tables,Tables,Chromcraft Rectangular Conference Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",✔️ Positive,1
